Sector;Pollutant_Group;Anomaly_Count
Chemical industry;Regulated Climate/Ozone Risk - Global Environmental Impact;49
Production and processing of metals;Moderate Risk - Air Pollution, Corrosives & Community Exposure;35
Production and processing of metals;Critical Risk - Immediate Toxicity & Severe Health Damage;29
Production and processing of metals;Regulated Climate/Ozone Risk - Global Environmental Impact;21
Mineral industry;Critical Risk - Immediate Toxicity & Severe Health Damage;14
Energy sector;Regulated Climate/Ozone Risk - Global Environmental Impact;10
Waste and wastewater management;Critical Risk - Immediate Toxicity & Severe Health Damage;5
Mineral industry;High Risk - Persistent Toxins, Carcinogens & Long-Term Illness;3
Other activities;Regulated Climate/Ozone Risk - Global Environmental Impact;3
Waste and wastewater management;Regulated Climate/Ozone Risk - Global Environmental Impact;2
Chemical industry;Moderate Risk - Air Pollution, Corrosives & Community Exposure;1
Production and processing of metals;High Risk - Persistent Toxins, Carcinogens & Long-Term Illness;1
