Country;Year;Code;Sector;Facility;Pollutant;Amount;Pollutant_Group;Is_Negative;Amount_Log;Group_Median;Dev_from_Group_Median;Sector_Median;Dev_from_Sector_Median;Sector_Group_Median;Dev_from_Sector_Group_Median;Previous_Year_Amount;YoY_Change_Pct;Is_Anomaly;Anomaly_Score
Austria;2014;4.0;Chemical industry;Sandoz GmbH;Hydrochlorofluorocarbons (HCFCs);10.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;2.3979;19.08595;-16.688;12.19095;-9.7931;12.836;-10.4381;5.8348;-58.9035;1;-0.1551
Austria;2022;2.0;Production and processing of metals;voestalpine Stahl GmbH;PCDD + PCDF (dioxins + furans) (as Teq);0.000199;Critical Risk - Immediate Toxicity & Severe Health Damage;False;0.0002;3.7960000000000003;-3.7958;8.677800000000001;-8.6776;5.3982;-5.398;0.001;-80.0;1;-0.1358
Austria;2010;4.0;Chemical industry;Patheon Austria GmbH & Co KG;Hydrochlorofluorocarbons (HCFCs);36.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;3.6109;19.08595;-15.475;12.19095;-8.58;12.836;-9.2251;6.3986;-43.5673;1;-0.1342
Austria;2015;2.0;Production and processing of metals;voestalpine Stahl GmbH;PCDD + PCDF (dioxins + furans) (as Teq);0.00125;Critical Risk - Immediate Toxicity & Severe Health Damage;False;0.0012;3.7960000000000003;-3.7948;8.677800000000001;-8.6766;5.3982;-5.397;0.0017;-29.4118;1;-0.1176
Austria;2018;2.0;Production and processing of metals;voestalpine Stahl GmbH;PCDD + PCDF (dioxins + furans) (as Teq);0.00087;Critical Risk - Immediate Toxicity & Severe Health Damage;False;0.0009;3.7960000000000003;-3.7951;8.677800000000001;-8.6769;5.3982;-5.3973;0.0012;-25.0;1;-0.1131
Austria;2009;2.0;Production and processing of metals;voestalpine Stahl GmbH;PCDD + PCDF (dioxins + furans) (as Teq);0.00137;Critical Risk - Immediate Toxicity & Severe Health Damage;False;0.0014;3.7960000000000003;-3.7946;8.677800000000001;-8.6764;5.3982;-5.3968;0.0018;-22.2222;1;-0.1113
Austria;2008;2.0;Production and processing of metals;voestalpine Stahl GmbH;PCDD + PCDF (dioxins + furans) (as Teq);0.00176;Critical Risk - Immediate Toxicity & Severe Health Damage;False;0.0018;3.7960000000000003;-3.7942;8.677800000000001;-8.676;5.3982;-5.3964;0.0023;-21.7391;1;-0.109
Austria;2010;1.0;Energy sector;OMV Downstream GmbH;Hydrochlorofluorocarbons (HCFCs);147.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;4.9972;19.08595;-14.0888;13.2725;-8.2753;18.9513;-13.9541;5.8464;-14.5252;1;-0.1068
Austria;2013;4.0;Chemical industry;Patheon Austria GmbH & Co KG;Hydrochlorofluorocarbons (HCFCs);25.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;3.2581;19.08595;-15.8278;12.19095;-8.9328;12.836;-9.5779;3.7377;-12.8314;1;-0.1014
Austria;2010;4.0;Chemical industry;Borealis Polyolefine GmbH;Hydrochlorofluorocarbons (HCFCs);167.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;5.124;19.08595;-13.962;12.19095;-7.067;12.836;-7.712;6.632;-22.7382;1;-0.0964
Austria;2018;4.0;Chemical industry;Sandoz GmbH;Hydro-fluorocarbons (HFCS);133.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;4.8978;19.08595;-14.1882;12.19095;-7.2932;12.836;-7.9382;6.0426;-18.9455;1;-0.0938
Austria;2021;4.0;Chemical industry;Sandoz GmbH;Hydro-fluorocarbons (HFCS);104.0;Regulated Climate/Ozone Risk - Global Environmental Impact;False;4.654;19.08595;-14.432;12.19095;-7.537;12.836;-8.182;5.451;-14.6212;1;-0.0917
